tab 	rmag_anisotropy
er_citation_names	anisotropy_sigma	magic_experiment_names	anisotropy_s6	anisotropy_type	er_site_name	er_sample_name	er_location_name	anisotropy_s5	anisotropy_s4	anisotropy_s3	anisotropy_s2	anisotropy_s1	er_specimen_name	anisotropy_unit	magic_method_codes
This study	115	1.71480:AMS	-0.045	AMS	unknown	unknown	Unknown	-0.05325	-0.0164	1.73940	1.76400	1.71480	unknown	SI	LP-X
This study	130	1.71720:AMS	-0.0405	AMS	unknown	unknown	Unknown	-0.07105	-0.01505	1.69150	1.69510	1.71720	unknown	SI	LP-X
This study	0	1.71920:AMS	-0.1798	AMS	unknown	unknown	Unknown	-0.155	-0.28845	1.49170	1.72190	1.71920	unknown	SI	LP-X
This study	130	1.72180:AMS	-0.0833	AMS	unknown	unknown	Unknown	-0.04245	-0.05765	1.70120	1.71020	1.72180	unknown	SI	LP-X
This study	115	1.72300:AMS	-0.04935	AMS	unknown	unknown	Unknown	0.01635	0.078	1.82990	1.67390	1.72300	unknown	SI	LP-X
This study	130	1.73940:AMS	0.02455	AMS	unknown	unknown	Unknown	-0.0821	-0.02895	1.69030	1.70660	1.73940	unknown	SI	LP-X
This study	115	1.73940:AMS	-0.0821	AMS	unknown	unknown	Unknown	-0.0082	-0.0862	1.78890	1.83810	1.73940	unknown	SI	LP-X
This study	115	1.73940:AMS	0.0782	AMS	unknown	unknown	Unknown	-0.078	-0.07375	1.73940	1.92000	1.73940	unknown	SI	LP-X
This study	68	1.74660:AMS	-0.04455	AMS	unknown	unknown	Unknown	-0.03275	-0.0323	1.73940	1.69850	1.74660	unknown	SI	LP-X
This study	68	1.74760:AMS	-0.04915	AMS	unknown	unknown	Unknown	-0.06155	2.22045e-16	1.70660	1.81350	1.74760	unknown	SI	LP-X
This study	115	1.75580:AMS	-0.0123	AMS	unknown	unknown	Unknown	-0.0819	0.01655	1.76400	1.76400	1.75580	unknown	SI	LP-X
This study	130	1.75670:AMS	-0.03115	AMS	unknown	unknown	Unknown	0.02535	0.0416	1.79120	1.71180	1.75670	unknown	SI	LP-X
This study	0	1.76400:AMS	-0.0821	AMS	unknown	unknown	Unknown	0.05345	0.02455	1.63250	1.73120	1.76400	unknown	SI	LP-X
This study	68	1.76440:AMS	-0.08645	AMS	unknown	unknown	Unknown	-0.05345	-0.04115	1.76440	1.69030	1.76440	unknown	SI	LP-X
This study	68	1.76440:AMS	-0.1108	AMS	unknown	unknown	Unknown	0.0205	-0.04115	1.72300	1.70660	1.76440	unknown	SI	LP-X
This study	68	1.76440:AMS	-0.04115	AMS	unknown	unknown	Unknown	-0.02865	0.008	1.87900	1.79710	1.76440	unknown	SI	LP-X
This study	0	1.76730:AMS	0.0089	AMS	unknown	unknown	Unknown	-0.04605	-0.02075	1.69130	1.67130	1.76730	unknown	SI	LP-X
This study	0	1.76730:AMS	-0.12955	AMS	unknown	unknown	Unknown	-0.0614	0.04245	1.70010	1.69020	1.76730	unknown	SI	LP-X
This study	115	1.77220:AMS	-0.0123	AMS	unknown	unknown	Unknown	0.06965	0.0657	1.64930	1.65750	1.77220	unknown	SI	LP-X
This study	68	1.77260:AMS	-0.0535	AMS	unknown	unknown	Unknown	0.00015	-0.0985	1.69850	1.73940	1.77260	unknown	SI	LP-X
This study	68	1.77260:AMS	0.10235	AMS	unknown	unknown	Unknown	0.0039	-0.033	1.75620	1.82170	1.77260	unknown	SI	LP-X
This study	68	1.77260:AMS	-0.033	AMS	unknown	unknown	Unknown	-0.0862	-0.0123	1.82990	1.87900	1.77260	unknown	SI	LP-X
This study	68	1.78040:AMS	0.01635	AMS	unknown	unknown	Unknown	0.08185	-0.0164	1.60020	1.69850	1.78040	unknown	SI	LP-X
This study	68	1.78070:AMS	-0.1355	AMS	unknown	unknown	Unknown	-0.0903	0.01625	1.82990	1.80530	1.78070	unknown	SI	LP-X
This study	0	1.78620:AMS	-0.1095	AMS	unknown	unknown	Unknown	-0.05065	-0.02845	1.60620	1.76720	1.78620	unknown	SI	LP-X
This study	115	1.78890:AMS	0.0246	AMS	unknown	unknown	Unknown	0.03295	-0.04115	1.68210	1.75580	1.78890	unknown	SI	LP-X
This study	115	1.78890:AMS	0.0614	AMS	unknown	unknown	Unknown	0.0657	-0.078	1.69030	1.76400	1.78890	unknown	SI	LP-X
This study	68	1.78890:AMS	-0.0739	AMS	unknown	unknown	Unknown	-0.0125	-0.07	1.67390	1.81350	1.78890	unknown	SI	LP-X
This study	0	1.79320:AMS	-0.04885	AMS	unknown	unknown	Unknown	0.06325	0.13935	1.76170	1.61320	1.79320	unknown	SI	LP-X
This study	0	1.79670:AMS	-0.22325	AMS	unknown	unknown	Unknown	-0.11185	-0.23615	1.53430	1.59160	1.79670	unknown	SI	LP-X
This study	68	1.79700:AMS	0.0698	AMS	unknown	unknown	Unknown	-0.0367	0.0083	1.86240	1.83800	1.79700	unknown	SI	LP-X
This study	115	1.79710:AMS	0.0451	AMS	unknown	unknown	Unknown	-0.00015	-0.0862	1.63290	1.82990	1.79710	unknown	SI	LP-X
This study	0	1.80130:AMS	0.0055	AMS	unknown	unknown	Unknown	-0.0457	0.0775	1.69720	1.69320	1.80130	unknown	SI	LP-X
This study	0	1.80490:AMS	-0.0862	AMS	unknown	unknown	Unknown	-0.0987	0.0778	1.69030	1.68210	1.80490	unknown	SI	LP-X
This study	130	1.81030:AMS	-0.0785	AMS	unknown	unknown	Unknown	0.10545	0.01635	1.71030	1.69190	1.81030	unknown	SI	LP-X
This study	0	1.81320:AMS	-0.0766	AMS	unknown	unknown	Unknown	-0.01615	-0.06275	1.69140	1.76730	1.81320	unknown	SI	LP-X
This study	0	1.81820:AMS	0.06415	AMS	unknown	unknown	Unknown	-0.02385	0.1041	1.84630	1.96910	1.81820	unknown	SI	LP-X
This study	0	1.81920:AMS	-0.1516	AMS	unknown	unknown	Unknown	-0.0531	0.02455	1.69920	1.70720	1.81920	unknown	SI	LP-X
This study	0	1.81920:AMS	0.01025	AMS	unknown	unknown	Unknown	0.1673	0.05495	1.81920	1.81320	1.81920	unknown	SI	LP-X
This study	0	1.81920:AMS	0.12	AMS	unknown	unknown	Unknown	0.0984	0.0964	1.86360	1.81920	1.81920	unknown	SI	LP-X
