tab 	magic_measurements
measurement_temp	er_citation_names	magic_software_packages	measurement_number	measurement_standard	er_site_name	er_sample_name	treatment_temp	magic_instrument_codes	er_location_name	measurement_magn_moment	measurement_flag	magic_experiment_name	measurement_lab_field_dc	er_specimen_name	treatment_dc_field	magic_method_codes	er_scientist_mail_names
273	This study	pmagpy-1.51b	108	u		TC04-15-03	273	SIO-Maud	unknown	6.399e-07	g	TC04-15-03F:LP-HYS	7.293e-02	TC04-15-03F		LP-HYS	
273	This study	pmagpy-1.51b	109	u		TC04-15-03	273	SIO-Maud	unknown	6.310e-07	g	TC04-15-03F:LP-HYS	6.893e-02	TC04-15-03F		LP-HYS	
273	This study	pmagpy-1.51b	110	u		TC04-15-03	273	SIO-Maud	unknown	6.216e-07	g	TC04-15-03F:LP-HYS	6.494e-02	TC04-15-03F		LP-HYS	
273	This study	pmagpy-1.51b	111	u		TC04-15-03	273	SIO-Maud	unknown	6.117e-07	g	TC04-15-03F:LP-HYS	6.094e-02	TC04-15-03F		LP-HYS	
273	This study	pmagpy-1.51b	112	u		TC04-15-03	273	SIO-Maud	unknown	6.011e-07	g	TC04-15-03F:LP-HYS	5.694e-02	TC04-15-03F		LP-HYS	
273	This study	pmagpy-1.51b	113	u		TC04-15-03	273	SIO-Maud	unknown	5.901e-07	g	TC04-15-03F:LP-HYS	5.296e-02	TC04-15-03F		LP-HYS	
273	This study	pmagpy-1.51b	114	u		TC04-15-03	273	SIO-Maud	unknown	5.785e-07	g	TC04-15-03F:LP-HYS	4.894e-02	TC04-15-03F		LP-HYS	
273	This study	pmagpy-1.51b	115	u		TC04-15-03	273	SIO-Maud	unknown	5.659e-07	g	TC04-15-03F:LP-HYS	4.493e-02	TC04-15-03F		LP-HYS	
273	This study	pmagpy-1.51b	116	u		TC04-15-03	273	SIO-Maud	unknown	5.530e-07	g	TC04-15-03F:LP-HYS	4.094e-02	TC04-15-03F		LP-HYS	
273	This study	pmagpy-1.51b	117	u		TC04-15-03	273	SIO-Maud	unknown	5.391e-07	g	TC04-15-03F:LP-HYS	3.694e-02	TC04-15-03F		LP-HYS	
273	This study	pmagpy-1.51b	118	u		TC04-15-03	273	SIO-Maud	unknown	5.245e-07	g	TC04-15-03F:LP-HYS	3.294e-02	TC04-15-03F		LP-HYS	
273	This study	pmagpy-1.51b	119	u		TC04-15-03	273	SIO-Maud	unknown	5.088e-07	g	TC04-15-03F:LP-HYS	2.891e-02	TC04-15-03F		LP-HYS	
273	This study	pmagpy-1.51b	120	u		TC04-15-03	273	SIO-Maud	unknown	4.924e-07	g	TC04-15-03F:LP-HYS	2.493e-02	TC04-15-03F		LP-HYS	
273	This study	pmagpy-1.51b	121	u		TC04-15-03	273	SIO-Maud	unknown	4.748e-07	g	TC04-15-03F:LP-HYS	2.093e-02	TC04-15-03F		LP-HYS	
273	This study	pmagpy-1.51b	122	u		TC04-15-03	273	SIO-Maud	unknown	4.559e-07	g	TC04-15-03F:LP-HYS	1.693e-02	TC04-15-03F		LP-HYS	
273	This study	pmagpy-1.51b	123	u		TC04-15-03	273	SIO-Maud	unknown	4.356e-07	g	TC04-15-03F:LP-HYS	1.293e-02	TC04-15-03F		LP-HYS	
273	This study	pmagpy-1.51b	124	u		TC04-15-03	273	SIO-Maud	unknown	4.135e-07	g	TC04-15-03F:LP-HYS	8.939e-03	TC04-15-03F		LP-HYS	
273	This study	pmagpy-1.51b	125	u		TC04-15-03	273	SIO-Maud	unknown	3.892e-07	g	TC04-15-03F:LP-HYS	4.958e-03	TC04-15-03F		LP-HYS	
273	This study	pmagpy-1.51b	126	u		TC04-15-03	273	SIO-Maud	unknown	3.614e-07	g	TC04-15-03F:LP-HYS	9.721e-04	TC04-15-03F		LP-HYS	
273	This study	pmagpy-1.51b	127	u		TC04-15-03	273	SIO-Maud	unknown	3.275e-07	g	TC04-15-03F:LP-HYS	-3.041e-03	TC04-15-03F		LP-HYS	
273	This study	pmagpy-1.51b	128	u		TC04-15-03	273	SIO-Maud	unknown	2.895e-07	g	TC04-15-03F:LP-HYS	-7.038e-03	TC04-15-03F		LP-HYS	
273	This study	pmagpy-1.51b	129	u		TC04-15-03	273	SIO-Maud	unknown	2.487e-07	g	TC04-15-03F:LP-HYS	-1.103e-02	TC04-15-03F		LP-HYS	
273	This study	pmagpy-1.51b	130	u		TC04-15-03	273	SIO-Maud	unknown	2.058e-07	g	TC04-15-03F:LP-HYS	-1.505e-02	TC04-15-03F		LP-HYS	
273	This study	pmagpy-1.51b	131	u		TC04-15-03	273	SIO-Maud	unknown	1.609e-07	g	TC04-15-03F:LP-HYS	-1.905e-02	TC04-15-03F		LP-HYS	
273	This study	pmagpy-1.51b	132	u		TC04-15-03	273	SIO-Maud	unknown	1.134e-07	g	TC04-15-03F:LP-HYS	-2.304e-02	TC04-15-03F		LP-HYS	
273	This study	pmagpy-1.51b	133	u		TC04-15-03	273	SIO-Maud	unknown	6.171e-08	g	TC04-15-03F:LP-HYS	-2.705e-02	TC04-15-03F		LP-HYS	
273	This study	pmagpy-1.51b	134	u		TC04-15-03	273	SIO-Maud	unknown	5.761e-09	g	TC04-15-03F:LP-HYS	-3.107e-02	TC04-15-03F		LP-HYS	
273	This study	pmagpy-1.51b	135	u		TC04-15-03	273	SIO-Maud	unknown	-5.387e-08	g	TC04-15-03F:LP-HYS	-3.506e-02	TC04-15-03F		LP-HYS	
273	This study	pmagpy-1.51b	136	u		TC04-15-03	273	SIO-Maud	unknown	-1.154e-07	g	TC04-15-03F:LP-HYS	-3.905e-02	TC04-15-03F		LP-HYS	
273	This study	pmagpy-1.51b	137	u		TC04-15-03	273	SIO-Maud	unknown	-1.779e-07	g	TC04-15-03F:LP-HYS	-4.305e-02	TC04-15-03F		LP-HYS	
273	This study	pmagpy-1.51b	138	u		TC04-15-03	273	SIO-Maud	unknown	-2.398e-07	g	TC04-15-03F:LP-HYS	-4.706e-02	TC04-15-03F		LP-HYS	
273	This study	pmagpy-1.51b	139	u		TC04-15-03	273	SIO-Maud	unknown	-3.000e-07	g	TC04-15-03F:LP-HYS	-5.106e-02	TC04-15-03F		LP-HYS	
273	This study	pmagpy-1.51b	140	u		TC04-15-03	273	SIO-Maud	unknown	-3.582e-07	g	TC04-15-03F:LP-HYS	-5.507e-02	TC04-15-03F		LP-HYS	
273	This study	pmagpy-1.51b	141	u		TC04-15-03	273	SIO-Maud	unknown	-4.140e-07	g	TC04-15-03F:LP-HYS	-5.907e-02	TC04-15-03F		LP-HYS	
273	This study	pmagpy-1.51b	142	u		TC04-15-03	273	SIO-Maud	unknown	-4.658e-07	g	TC04-15-03F:LP-HYS	-6.306e-02	TC04-15-03F		LP-HYS	
273	This study	pmagpy-1.51b	143	u		TC04-15-03	273	SIO-Maud	unknown	-5.120e-07	g	TC04-15-03F:LP-HYS	-6.706e-02	TC04-15-03F		LP-HYS	
273	This study	pmagpy-1.51b	144	u		TC04-15-03	273	SIO-Maud	unknown	-5.516e-07	g	TC04-15-03F:LP-HYS	-7.105e-02	TC04-15-03F		LP-HYS	
